fips_code,name,state,pop_2010,pop_2011,pop_2012,pop_2013,pop_2014,pop_2015,pop_2016,pop_2017,pop_2018,pop_2019
21055,Crittenden County,KY,50958,50517,50077,49739,49536,49019,49306,48716,48363,47955
21057,Cumberland County,KY,11053,11080,10950,10904,10923,10860,10868,10880,10804,10766
21059,Daviess County,KY,31720,31950,32116,32282,32680,32823,33010,33136,33278,33351
21061,Edmonson County,KY,12228,12229,12091,12058,12007,11991,12076,12226,12249,12150
21063,Elliott County,KY,7843,7782,7633,7551,7532,7548,7491,7493,7499,7517
21065,Estill County,KY,14713,14654,14503,14482,14441,14373,14315,14178,14150,14106
21067,Fayette County,KY,17229,17052,16945,16824,16772,16696,16563,16466,16445,16302
21069,Fleming County,KY,14400,14483,14525,14536,14476,14578,14481,14439,14485,14581
21071,Floyd County,KY,96431,96161,95940,95880,95868,96186,96698,97500,97964,98498
21073,Franklin County,KY,31746,31776,31690,31553,31559,31515,31611,31542,31298,31362
21075,Fulton County,KY,12215,12240,12169,12170,12081,12138,12099,12131,12308,12477
21077,Gallatin County,KY,5573,5490,5390,5386,5278,5221,5157,5071,5045,4828
21079,Garrard County,KY,16941,16868,17006,16992,16972,17207,17382,17449,17519,17666
21081,Grant County,KY,17886,17947,18038,18046,18074,18016,18064,18103,18180,18265
21083,Graves County,KY,37262,37613,37566,37406,37583,37248,37217,37190,37319,37266
21085,Grayson County,KY,25786,25752,25792,25948,26066,26138,26093,26286,26293,26427
21087,Green County,KY,11230,11191,11277,11154,11017,10951,10969,11036,10998,10941
21089,Greenup County,KY,36885,36841,36686,36483,36303,36006,35824,35514,35332,35098
21091,Hancock County,KY,9433,9395,9079,8952,8571,8578,8633,8539,8368,8457
21093,Hardin County,KY,4319,4294,4281,4177,4149,4067,3991,3922,3893,3821
21095,Harlan County,KY,29222,29129,28681,28489,28014,27506,26996,26676,26309,26010
21097,Harrison County,KY,39330,39188,39011,39000,39173,39532,39661,39777,40214,40515
21099,Hart County,KY,25240,25417,25513,25456,25362,25410,25471,25710,26071,26205
21101,Henderson County,KY,7343,7216,7043,6963,7011,6997,6886,6819,6697,6646
21103,Henry County,KY,17296,17377,17153,17129,17079,17101,17072,17115,17173,17205
21105,Hickman County,KY,4860,4783,4737,4708,4679,4612,4607,4518,4431,4380
21107,Hopkins County,KY,46841,46844,46607,46424,46155,46055,45598,45293,45024,44686
21109,Jackson County,KY,53184,53214,53079,52957,52562,52195,51988,51828,51621,51626
21111,Jefferson County,KY,658215,658109,658061,659265,659972,660455,660343,659599,659429,658573
21113,Jessamine County,KY,48682,48892,49467,50120,50871,51809,52219,53259,53757,54115
21115,Johnson County,KY,25556,25675,25914,25932,25969,26094,26127,26401,26659,26578
21117,Kenton County,KY,159961,160526,161704,163131,163623,164478,164962,165608,166292,166998
21119,Knott County,KY,16355,16312,16127,16092,15944,15680,15492,15244,15076,14806
21121,Knox County,KY,52912,52705,52302,52129,51944,51370,50917,50577,49978,49699
21123,Larue County,KY,14169,14179,14048,14019,14106,14110,14018,14196,14299,14398
21125,Laurel County,KY,58998,59359,59534,59701,59897,59919,60078,60317,60660,60813
21127,Lawrence County,KY,34342,34051,33806,33575,33444,33135,33227,33063,32941,32924
21129,Lee County,KY,140794,144130,148567,151809,154511,156954,159168,161440,163656,164542
21131,Leslie County,KY,11278,11237,11140,10985,10830,10644,10431,10310,10151,9877
21133,Letcher County,KY,24534,24376,24011,23540,23357,23049,22759,22303,21813,21553
21135,Lewis County,KY,3820,3806,3820,3805,3813,3791,3846,3884,3832,3838
21137,Lincoln County,KY,14089,14339,14180,14063,14025,13866,13728,13475,13184,13024
21139,Livingston County,KY,38854,38805,38511,37394,37036,36605,36107,36124,35714,35648
21141,Logan County,KY,22308,22242,21928,22031,21866,21729,21732,21739,21673,21466
21143,Lyon County,KY,11567,11692,11757,11695,11703,11747,11780,11785,11815,11755
21145,McCracken County,KY,65515,65794,65584,65337,65318,64948,65304,65364,65307,65418
21147,McCreary County,KY,18328,18283,18051,17925,17922,17883,17548,17372,17290,17231
21149,McLean County,KY,169810,170909,172721,175037,174105,173141,173070,172754,172410,171517
21151,Madison County,KY,336095,339565,342730,346625,349796,352977,356729,361762,367004,372909
21153,Magoffin County,KY,13306,13220,13061,12941,12980,12784,12668,12519,12323,12161
21155,Marion County,KY,30816,30652,30484,30224,30199,30119,29960,29792,29750,29709
21157,Marshall County,KY,93122,93895,94260,94356,94257,94585,95113,95572,96170,96774
21159,Martin County,KY,146909,147871,148981,151126,153119,155559,158325,159701,160742,161000
21161,Mason County,KY,14651,14471,14322,14144,14103,13863,13675,13677,13533,13359
21163,Meade County,KY,4596,4519,4378,4286,4357,4301,4236,4230,4098,4033
21165,Menifee County,KY,6371,6419,6338,6341,6304,6373,6449,6465,6437,6489
21167,Mercer County,KY,16409,16316,16163,16075,15901,15746,15602,15608,15551,15437
21169,Metcalfe County,KY,10147,10070,9983,9960,9997,9925,10020,10093,10070,10071
21171,Monroe County,KY,23005,22796,22581,22170,21926,21717,21548,21290,21062,20733
21173,Montgomery County,KY,229505,229189,228874,228190,227551,227279,227170,227265,226504,226486
21175,Morgan County,KY,119608,120024,120102,119571,119444,119257,119006,118918,119203,119679
21177,Muhlenberg County,KY,31657,31528,31382,31323,31302,31245,31150,30925,30811,30622
